"Informazioni cronologiche","A quale categoria appartieni?","Quanto saresti interessato/a ad avere accesso a una biblioteca digitale?","Per quali finalità useresti maggiormente la biblioteca digitale?","Quanto è importante per te poter accedere ai contenuti da qualsiasi dispositivo (computer, tablet, smartphone)?","Saresti disposto/a a registrarti con un account scolastico per accedere ai servizi digitali?","Quali contenuti riterresti più utili?","Quanto troveresti utile poter prendere in prestito libri digitali direttamente da casa?","Quale sarebbe la tua frequenza d’uso della biblioteca digitale?","Che livello di assistenza ti aspetteresti dalla biblioteca digitale?","Come giudichi la possibilità di affiancare la biblioteca digitale a quella tradizionale?","Quali funzionalità considereresti più importanti?","Attualmente, come acquisti o vendi principalmente i libri scolastici usati?","Quanto saresti interessato/a a utilizzare una piattaforma online specializzata solo per la compravendita di libri scolastici usati?","Quanto saresti disposto/a a risparmiare sull'acquisto di un libro usato rispetto al prezzo di copertina (nuovo)?","Saresti disposto/a a pagare una piccola commissione sul prezzo di vendita/acquisto per usufruire delle garanzie e dei servizi del sito (es. assistenza clienti o transazione sicura)?","Quale metodo di consegna/ritiro preferisci per le transazioni online?","Quale di queste funzionalità è la più importante per te in un sito di libri usati? ","Quanto è importante che il sito ti permetta di filtrare i libri per la tua specifica scuola, classe o indirizzo di studio?
","Se un libro che cerchi non è immediatamente disponibile, preferiresti:","Quanto è alta la tua preoccupazione riguardo al rischio di truffe o transazioni non andate a buon fine nell'acquisto/vendita di libri usati online?","Vorresti aggiungere altro?"
"2025/12/11 9:20:06 AM CET","Docente","Molto interessato/a","Ricerca e approfondimento personale","Abbastanza importante","Si, senza problemi","Audiolibri;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Mensile","FAQ e guide on-line","Un servizio utile","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Abbastanza interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Garanzia di rimborso in caso di problemi (protezione dell'acquirente)","Molto importante","Non ho bisogno di questa funzionalità","Media","Un servizio scolastico in quanto tale non dovrebbe essere a pagamento"
"2025/12/11 9:20:08 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Audiolibri","Molto utile","Settimanale","Assistenza tramite email","Un servizio utile","Ricerca avanzata dei contenuti","Non vendo i miei libri usati e preferisco utilizzarli nuovi","Poco interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Media",""
"2025/12/11 9:21:14 AM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Ricerca e approfondimento personale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Audiolibri","Molto utile","Settimanale","Assistenza tramite email","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Estremamente interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Assente",""
"2025/12/11 9:22:12 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Mensile","Assistenza immediata via chat","Un grande miglioramento","Ricerca avanzata dei contenuti","Non acquisto/vendo libri usati","Poco interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Alta","no"
"2025/12/11 9:24:39 AM CET","Docente","Molto interessato/a","Studio/Preparazione alle lezioni;Aggiornamento professionale","Molto importante","Si, senza problemi","Audiolibri;Riviste, quotidiani o articoli digitali","Molto utile","Settimanale","Nessuna assistenza necessaria","Un grande miglioramento","Accesso rapido ai materiali scolastici/didattici","non vendo libri scolastici","Per niente interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Poco importante","Non ho bisogno di questa funzionalità","Terrorizzato","no"
"2025/12/11 9:24:52 AM CET","Docente","Molto interessato/a","Ricerca e approfondimento personale","Abbastanza importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Mensile","FAQ e guide on-line","Un servizio utile","Ricerca avanzata dei contenuti","Acquisto e non vendo","Abbastanza interessato/a","Non ho un aspettativa precisa","No, preferirei che il servizio fosse completamente gratuito per gli utenti","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta",""
"2025/12/11 9:25:48 AM CET","Docente","Poco interessato/a","Aggiornamento professionale","Abbastanza importante","Forse","Ebook scolastici o accademici","Abbastanza utile","Mensile","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Non acquisto/vendo libri usati","Poco interessato/a","Non ho un aspettativa precisa","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Poco importante","Non ho bisogno di questa funzionalità","Bassa",""
"2025/12/11 9:27:38 AM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Molto importante","Si, ma solo con pochi dati richiesti","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Passaparola tra amici, colleghi o conoscenti della scuola","Estremamente interessato/a","Dal 31% al 50% di sconto","Si, anche con una commissione moderata (es. 5-10%)","È indifferente","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Molto importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Media","No, tutto a posto"
"2025/12/11 9:31:12 AM CET","Studente","Molto interessato/a","Studio/Preparazione alle lezioni;Acquisto/Vendita di libri","Molto importante","Si, senza problemi","Ebook scolastici o accademici;Dispense o materiali prodotti dall'istituto","Molto utile","Settimanale","Assistenza immediata via chat","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Mercatini dell'usato/Librerie fisiche","Estremamente interessato/a","Dal 31% al 50% di sconto","Si, purché sia una percentuale bassa (es. inferiore al 5%)","Ritiro a mano (in zona/concordato col venditore)","Ricerca per codice ISBN (codice numerico posto sotto al codice a barre) e titolo","Estremamente importante","Ricevere un avviso via email/sms quando un utente lo mette in vendita (notifica)","Alta","no , non ho nulla da aggiungere "
"2025/12/11 9:36:00 AM CET","Studente","Poco interessato/a","Studio/Preparazione alle lezioni","Poco importante","Si, ma solo con pochi dati richiesti","Audiolibri;Dispense o materiali prodotti dall'istituto","Abbastanza utile","Mensile","FAQ e guide on-line","Un servizio utile","Accesso rapido ai materiali scolastici/didattici","Gruppi social (Facebook, Telegram o Instagram) o piattaforme generiche (Subito, Ebay o Amazon)","Abbastanza interessato/a","Dal 31% al 50% di sconto","Si, anche con una commissione moderata (es. 5-10%)","Ritiro a mano (in zona/concordato col venditore)","Descrizione dettagliata e foto delle condizioni reali del libro","Abbastanza importante","Ricevere suggerimenti per venditori che si trovano nella mia area geografica","Bassa",""
